,answer,token_usage
0,55.0,2642
1,23.0,1685
2,127.0,3475
3,13.0,1106
4,127.0,3282
5,127.0,4881
6,127.0,2130
7,61.0,1938
8,19.0,1813
9,17.0,533
10,29.0,1557
11,40.0,6674
12,127.0,2258
13,10.0,1938
14,19.0,2450
15,35.0,853
16,31.0,3093
17,23.0,2578
18,7.0,1940
19,13.0,1170
20,127.0,2962
21,127.0,2450
22,19.0,786
23,7.0,1746
24,19.0,597
25,241.0,661
26,127.0,2130
27,23.0,918
28,19.0,2133
29,25.0,2386
30,55.0,1553
31,19.0,722
32,22.0,1493
33,55.0,3603
34,7.0,3345
35,13.0,4437
36,127.0,3282
37,155.0,2386
38,31.0,1621
39,24.0,1365

