,answer,token_usage
0,312.0,545
1,169.0,356
2,286.0,740
3,120.0,378
4,73.0,553
5,312.0,561
6,156.0,720
7,312.0,647
8,60.0,600
9,312.0,549
10,130.0,573
11,168.0,436
12,91.0,607
13,234.0,521
14,420.0,560
15,156.0,565
16,156.0,523
17,156.0,389
18,312.0,678
19,720.0,660
20,156.0,678
21,192.0,616
22,120.0,352
23,120.0,412
24,145.0,551
25,144.0,643
26,156.0,235
27,507.0,777
28,120.0,649
29,180.0,561
30,156.0,151
31,156.0,521
32,60.0,574
33,156.0,676
34,65.0,502
35,120.0,591
36,120.0,561
37,120.0,519
38,312.0,740
39,156.0,608

