,answer,token_usage
0,505.0,222
1,405.0,598
2,253.0,536
3,1694.0,119
4,506.0,540
5,507.0,112
6,1012.0,154
7,405.0,435
8,506.0,546
9,508.0,292
10,507.0,234
11,405.0,447
12,507.0,176
13,506.0,79
14,1619.0,682
15,405.0,365
16,404.0,323
17,405.0,325
18,506.0,102
19,505.0,177
20,506.0,223
21,1012.0,125
22,405.0,538
23,404.0,155
24,405.0,274
25,1012.0,142
26,920.0,191
27,507.0,76
28,505.0,112
29,337.0,496
30,504.0,468
31,405.0,215
32,405.0,410
33,404.0,123
34,1012.0,237
35,506.0,161
36,1012.0,167
37,505.0,111
38,404.0,193
39,405.0,322

