,answer,token_usage
0,30.0,1429
1,245.0,596
2,30.0,1297
3,245.0,789
4,30.0,850
5,30.0,533
6,245.0,1109
7,15.0,402
8,30.0,1234
9,245.0,597
10,15.0,977
11,245.0,725
12,15.0,657
13,18.0,401
14,30.0,1493
15,15.0,1042
16,30.0,594
17,245.0,529
18,30.0,1621
19,15.0,914
20,245.0,597
21,245.0,533
22,245.0,469
23,30.0,722
24,15.0,593
25,15.0,594
26,30.0,597
27,30.0,530
28,15.0,402
29,30.0,917
30,30.0,404
31,55.0,1045
32,15.0,530
33,30.0,789
34,245.0,725
35,30.0,337
36,30.0,978
37,15.0,786
38,86.0,1301
39,30.0,917

