,answer,token_usage
0,127.0,3345
1,23.0,1173
2,31.0,3221
3,55.0,4434
4,23.0,1938
5,169.0,2517
6,23.0,1425
7,29.0,2194
8,18.0,2641
9,113.0,1682
10,19.0,2450
11,127.0,3538
12,13.0,978
13,23.0,2514
14,17.0,1106
15,73.0,469
16,155.0,4437
17,19.0,3984
18,19.0,661
19,29.0,1430
20,11.0,1685
21,14.0,1813
22,31.0,2322
23,31.0,1682
24,19.0,3409
25,55.0,1425
26,127.0,2771
27,17.0,1170
28,13.0,2641
29,61.0,3281
30,19.0,1365
31,127.0,2706
32,127.0,3602
33,55.0,1683
34,55.0,1554
35,13.0,725
36,55.0,1937
37,127.0,4434
38,13.0,2645
39,61.0,853
40,23.0,1557
41,17.0,790
42,127.0,3795
43,17.0,1234
44,7.0,2516
45,22.0,1490
46,24.0,725
47,31.0,1493
48,13.0,917
49,19.0,2577
50,17.0,658
51,13.0,2963
52,24.0,917
53,127.0,1617
54,55.0,2898
55,53.0,1810
56,15.0,1745
57,61.0,2133
58,7.0,2961
59,29.0,4114
60,127.0,3474

