,answer,token_usage
0,12.0,2131
1,8.0,2196
2,5.0,3794
3,8.0,1490
4,12.0,2065
5,12.0,3858
6,6.0,2002
7,16.0,2387
8,8.0,2642
9,8.0,2580
10,8.0,2387
11,8.0,1426
12,-1.0,1828
13,6.0,1044
14,20.0,1298
15,14.0,1619
16,16.0,1557
17,14.0,2451
18,14.0,1235
19,-1.0,1584
20,14.0,1235
21,20.0,851
22,16.0,1618
23,5.0,1747
24,8.0,1298
25,8.0,1109
26,14.0,1877
27,14.0,2322
28,5.0,1429
29,16.0,919
30,14.0,2130
31,14.0,1749
32,14.0,1554
33,14.0,1299
34,8.0,1297
35,14.0,1234
36,16.0,2197
37,6.0,2004
38,16.0,1042
39,8.0,1747

