,answer,token_usage
0,86.0,1365
1,65.0,2897
2,105.0,2582
3,103.0,2706
4,2025.0,2007
5,2025.0,855
6,59.0,1493
7,59.0,465
8,59.0,1170
9,85.0,1105
10,2025.0,2195
11,59.0,2897
12,314.0,4819
13,2026.0,1492
14,59.0,1173
15,115.0,981
16,91.0,2101
17,197.0,4179
18,115.0,981
19,115.0,1365
20,197.0,4371
21,103.0,2133
22,2027.0,1427
23,2.0,4498
24,115.0,469
25,78.0,1683
26,675.0,1173
27,23443.0,2135
28,37.0,3409
29,4048.0,2259
30,2025.0,531
31,2025.0,1239
32,2331.0,1175
33,673.0,1109
34,103.0,1173
35,197.0,4882
36,59.0,1941
37,103.0,1425
38,468.0,2391
39,371.0,1557
40,59.0,981
41,105.0,917
42,2027.0,791
43,2029.0,1943
44,2026.0,1427
45,2025.0,2003
46,71.0,1301
47,2025.0,2327
48,2027.0,1175
49,59.0,1877
50,91.0,1681
51,2026.0,1175
52,65.0,2257
53,2024.0,2579
54,115.0,1237
55,2025.0,1367

