,answer,token_usage
0,6.0,1812
1,104.0,4370
2,6.0,11604
3,104.0,4052
4,6.0,4308
5,6.0,5204
6,4.0,3090
7,6.0,2705
8,6.0,3090
9,104.0,5074
10,11.0,1874
11,4.0,8018
12,104.0,4113
13,104.0,9234
14,11.0,6418
15,104.0,3475
16,11.0,3090
17,6.0,3473
18,104.0,4564
19,104.0,3539
20,104.0,7698
21,104.0,4179
22,3213.0,3669
23,11.0,4564
24,104.0,4956
25,104.0,3224
26,11.0,6229
27,104.0,3352
28,6.0,5074
29,104.0,3154
30,164.0,3923
31,6.0,3217
32,104.0,3858
33,6.0,3282
34,115.0,4305
35,11.0,3475
36,11.0,7635
37,6.0,4242
38,104.0,4178
39,6.0,3601

