,answer,token_usage
0,11.0,6547
1,104.0,3922
2,104.0,3154
3,6.0,1682
4,3.0,3602
5,104.0,3410
6,104.0,3155
7,6.0,3410
8,104.0,3922
9,6.0,3923
10,104.0,5650
11,479.0,3795
12,104.0,2962
13,6.0,1810
14,6.0,4819
15,6.0,3986
16,104.0,4050
17,104.0,2899
18,104.0,2962
19,3464.0,6614
20,48.0,3218
21,11.0,4883
22,104.0,4818
23,4.0,5331
24,104.0,3096
25,104.0,4050
26,11.0,3922
27,6.0,3730
28,104.0,4051
29,104.0,8085
30,6.0,1682
31,104.0,3605
32,11.0,2264
33,6.0,3794
34,11.0,4691
35,6.0,2770
36,6.0,8594
37,11.0,2514
38,6.0,1746
39,6.0,3602

