,answer,token_usage
0,107.0,459
1,201.0,574
2,201.0,253
3,184.0,481
4,200.0,513
5,33.0,433
6,168.0,271
7,168.0,275
8,168.0,272
9,1.0,150
10,139.0,487
11,47.5,640
12,201.0,332
13,91.0,201
14,47.0,340
15,83.0,579
16,168.0,310
17,31.0,284
18,75.0,411
19,201.0,630
20,191.0,401
21,200.0,299
22,184.0,256
23,201.0,426
24,77.0,438
25,168.0,210
26,168.0,248
27,43.0,541
28,1.0,489
29,167.0,343
30,1.0,265
31,168.0,369
32,167.0,133
33,1.0,317
34,16.0,174
35,91.0,535
36,151.0,522
37,168.0,435
38,193.0,106
39,78.0,377

