,answer,token_usage
0,184.0,145
1,307.0,61
2,25.0,125
3,184.0,83
4,38.0,143
5,119.0,309
6,185.0,132
7,176.0,142
8,76.0,92
9,167.0,167
10,152.0,84
11,167.0,143
12,684.0,44
13,36.0,216
14,120.0,100
15,49.0,255
16,8.0,98
17,118.0,206
18,91.0,432
19,168.0,128
20,65.0,301
21,108.0,171
22,15.0,232
23,16.0,322
24,168.0,242
25,57.0,110
26,184.0,89
27,144.0,188
28,81.0,112
29,101.0,124
30,145.0,158
31,166.0,105
32,137.0,91
33,458.0,123
34,6.0,106
35,88.0,74
36,167.0,68
37,120.0,233
38,14.0,358
39,151.0,120

