,answer,token_usage
0,540.0,1431
1,540.0,1432
2,540.0,1814
3,540.0,1110
4,540.0,1815
5,540.0,1362
6,540.0,1559
7,540.0,1879
8,540.0,2136
9,540.0,2008
10,540.0,1944
11,540.0,1815
12,540.0,1493
13,540.0,1176
14,540.0,1112
15,540.0,3224
16,540.0,1112
17,540.0,1560
18,540.0,920
19,540.0,1240
20,540.0,1047
21,540.0,1560
22,540.0,1174
23,540.0,1559
24,540.0,3032
25,540.0,1559
26,540.0,1621
27,540.0,1299
28,540.0,1368
29,540.0,1240
30,540.0,1878
31,540.0,1624
32,540.0,1431
33,540.0,1048
34,540.0,1560
35,540.0,1431
36,540.0,1175
37,540.0,1303
38,540.0,919
39,540.0,1240

