,answer,token_usage
0,0.0,1501
1,16.0,1042
2,16.0,1363
3,14.0,1235
4,14.0,1879
5,8.0,1298
6,14.0,1873
7,8.0,853
8,8.0,2578
9,8.0,2902
10,14.0,1429
11,14.0,1810
12,14.0,978
13,-1.0,1884
14,8.0,1555
15,20.0,2257
16,16.0,1493
17,14.0,1299
18,14.0,1237
19,20.0,1426
20,8.0,1554
21,6.0,2580
22,8.0,1490
23,12.0,2642
24,8.0,1875
25,14.0,2321
26,16.0,1234
27,12.0,1043
28,8.0,2066
29,20.0,2201
30,16.0,1363
31,14.0,2071
32,8.0,1619
33,8.0,2772
34,8.0,2068
35,14.0,1558
36,10.0,2194
37,8.0,1427
38,8.0,2453
39,8.0,2962

