,answer,token_usage
0,2.5,851
1,59.0,4693
2,113.0,4113
3,35.0,2580
4,57.0,2770
5,57.0,3282
6,13.0,3281
7,34.0,5330
8,113.0,3987
9,113.0,4498
10,47.0,3986
11,57.0,2321
12,35.0,3413
13,11.0,4177
14,1.0,4371
15,87.0,4177
16,173.0,3669
17,87.0,5201
18,113.0,2580
19,113.0,3797
20,59.0,3092
21,683.0,4117
22,57.0,1554
23,13.0,5398
24,32.0,3990
25,1.0,3537
26,289.0,3218
27,11.0,3731
28,59.0,5395
29,87.0,6294
30,103.0,4693
31,17.0,2450
32,57.0,4882
33,457.0,4180
34,277.0,4241
35,36.0,5587
36,13.0,3089
37,25.0,2323
38,57.0,3922
39,57.0,4434
40,57.0,2003

