,answer,token_usage
0,104.0,3218
1,18229.0,3224
2,718.0,3029
3,116.0,1938
4,15.0,530
5,15.0,273
6,74.0,981
7,3.0,2900
8,17.0,1685
9,6.0,2958
10,104.0,2258
11,104.0,2131
12,6.0,2387
13,6.0,1874
14,6.0,2067
15,104.0,1938
16,56.0,1873
17,11.0,1042
18,6.0,2962
19,11.0,852
20,104.0,2393
21,104.0,2450
22,52.0,1042
23,124.0,2770
24,71.0,1493
25,104.0,2002
26,6.0,2067
27,6.0,2129
28,11.0,2195
29,21.0,1746
30,6.0,2259
31,8.0,1682
32,66.0,2769
33,77.0,1681
34,6.0,2002
35,6.0,2323
36,14.0,661
37,11.0,2901
38,104.0,2899
39,589.0,2450
40,6.0,850
41,26.0,3026
42,19.0,1874
43,104.0,2259
44,11.0,1042
45,6.0,2450
46,2011.0,4052
47,6.0,850

