,answer,token_usage
0,36.0,608
1,540.0,850
2,540.0,338
3,540.0,274
4,540.0,209
5,540.0,338
6,540.0,406
7,540.0,534
8,540.0,211
9,540.0,338
10,36.0,467
11,540.0,722
12,36.0,531
13,540.0,722
14,540.0,338
15,540.0,466
16,36.0,994
17,540.0,148
18,540.0,914
19,36.0,402
20,540.0,275
21,540.0,279
22,540.0,275
23,36.0,1182
24,540.0,338
25,540.0,466
26,540.0,531
27,540.0,658
28,540.0,274
29,540.0,403
30,540.0,274
31,540.0,210
32,540.0,599
33,540.0,279
34,540.0,599
35,540.0,210
36,540.0,338
37,540.0,274
38,540.0,210
39,540.0,658

