,answer,token_usage
0,30.0,6808
1,45.0,9938
2,45.0,9043
3,245.0,9559
4,245.0,7893
5,30.0,7059
6,30.0,8469
7,55.0,8918
8,30.0,5649
9,81.0,15506
10,245.0,10645
11,30.0,5906
12,15.0,9618
13,15.0,8341
14,27.0,7763
15,30.0,5714
16,245.0,5781
17,245.0,5845
18,975.0,10896
19,245.0,8087
20,975.0,7378
21,30.0,11795
22,30.0,9941
23,15.0,10708
24,245.0,6805
25,45.0,7890
26,45.0,10643
27,30.0,7505
28,30.0,7570
29,55.0,8529
30,300.0,6481
31,54.0,18903
32,54.0,10387
33,30.0,5010
34,30.0,6610
35,30.0,8917
36,245.0,3989
37,245.0,4181
38,245.0,4437
39,30.0,5205

