,answer,token_usage
0,14.0,14613
1,24.0,21972
2,6.0,16406
3,14.0,14552
4,24.0,8662
5,12.0,8724
6,24.0,15573
7,14.0,20502
8,24.0,20952
9,96.0,17496
10,96.0,14934
11,7.0,15637
12,16.0,17243
13,14.0,16341
14,24.0,9749
15,16.0,12760
16,16.0,13462
17,6.0,13146
18,12.0,9939
19,24.0,13714
20,14.0,13268
21,12.0,11414
22,24.0,15122
23,24.0,9428
24,24.0,14611
25,13.0,17812
26,24.0,16660
27,14.0,20179
28,24.0,12883
29,24.0,17622
30,24.0,12245
31,96.0,13845
32,48.0,13398
33,14.0,19474
34,8.0,14614
35,12.0,14869
36,24.0,9619
37,14.0,18130
38,16.0,18708
39,24.0,10710

