,answer,token_usage
0,45.0,3094
1,45.0,2200
2,45.0,2200
3,45.0,2136
4,45.0,4311
5,45.0,2066
6,45.0,3416
7,45.0,3032
8,45.0,2136
9,45.0,2072
10,45.0,3672
11,45.0,1943
12,45.0,2328
13,45.0,2264
14,45.0,2391
15,45.0,4503
16,45.0,2200
17,45.0,2775
18,45.0,2263
19,45.0,1752
20,45.0,2072
21,45.0,2258
22,45.0,2520
23,45.0,1880
24,45.0,3985
25,45.0,1879
26,45.0,3028
27,45.0,2391
28,45.0,2841
29,45.0,2775
30,45.0,1367
31,45.0,3159
32,45.0,2009
33,45.0,1944
34,45.0,1366
35,45.0,2072
36,45.0,2264
37,45.0,2775
38,45.0,3032
39,45.0,1880

