,answer,token_usage
0,136.0,97
1,136.0,77
2,136.0,72
3,273.0,79
4,273.0,172
5,136.0,76
6,91.0,82
7,136.0,81
8,136.0,77
9,273.0,89
10,273.0,105
11,273.0,111
12,182.0,99
13,273.0,101
14,273.0,131
15,273.0,99
16,136.0,100
17,136.0,74
18,273.0,123
19,182.0,83
20,273.0,125
21,273.0,109
22,136.0,69
23,136.0,102
24,91.0,88
25,182.0,105
26,273.0,123
27,182.0,65
28,182.0,68
29,273.0,124
30,273.0,127
31,136.0,76
32,273.0,119
33,273.0,164
34,273.0,132
35,273.0,111
36,273.0,160
37,182.0,82
38,136.0,77
39,273.0,93

