,answer,token_usage
0,7920.0,123
1,10541.52,219
2,9360.0,193
3,9360.0,247
4,9583.2,261
5,9360.0,147
6,8640.0,199
7,9360.0,178
8,7920.0,171
9,7920.0,170
10,10541.52,247
11,9360.0,180
12,10541.52,295
13,9583.2,233
14,7920.0,105
15,8712.0,224
16,9360.0,199
17,7920.0,127
18,10080.0,200
19,10080.0,238
20,7920.0,187
21,7920.0,111
22,7920.0,143
23,7200.0,97
24,9583.2,199
25,105413.52,395
26,8640.0,121
27,9583.0,241
28,7920.0,175
29,7920.0,163
30,9360.0,161
31,7920.0,154
32,7920.0,149
33,9360.0,223
34,9360.0,180
35,7920.0,166
36,8580.0,141
37,7920.0,130
38,7920.0,111
39,7920.0,167

