,answer,token_usage
0,145.0,133
1,145.0,162
2,145.0,179
3,145.0,135
4,145.0,146
5,70.0,122
6,145.0,108
7,70.0,153
8,145.0,119
9,145.0,122
10,145.0,178
11,145.0,128
12,145.0,185
13,145.0,163
14,145.0,138
15,145.0,140
16,145.0,175
17,145.0,163
18,145.0,166
19,145.0,138
20,70.0,186
21,145.0,139
22,145.0,165
23,145.0,157
24,145.0,138
25,70.0,95
26,145.0,145
27,145.0,139
28,145.0,197
29,145.0,174
30,145.0,162
31,145.0,182
32,70.0,139
33,145.0,131
34,145.0,183
35,70.0,146
36,145.0,180
37,145.0,168
38,145.0,97
39,145.0,142

