,answer,token_usage
0,1365.0,565
1,336.0,632
2,140.0,590
3,2025.0,695
4,392.0,491
5,35.0,655
6,1176.0,398
7,1820.0,522
8,560.0,632
9,70.0,219
10,20160.0,387
11,3080.0,547
12,1001.0,569
13,4900.0,623
14,1225.0,553
15,2450251.0,544
16,0.0,633
17,141120.0,496
18,70.0,549
19,224.0,754
20,147.0,612
21,56000.0,656
22,495.0,660
23,560.0,687
24,70.0,374
25,280.0,482
26,210.0,551
27,980.0,498
28,70.0,358
29,70.0,623
30,140.0,661
31,280.0,495
32,140.0,591
33,490.0,747
34,2800.0,500
35,1225.0,548
36,8960.0,724
37,405.0,509
38,70.0,653
39,3920.0,654

