,answer,token_usage
0,17.0,571
1,43.0,543
2,73.0,652
3,163.0,710
4,17.0,689
5,147.0,727
6,9.0,688
7,133.0,534
8,163.0,716
9,65.0,547
10,129.0,550
11,163.0,533
12,10.0,912
13,33.0,672
14,1059.0,607
15,289.0,579
16,11.0,684
17,1.0,216
18,581.0,687
19,143.0,690
20,3.0,473
21,8.0,572
22,167.0,644
23,129.0,558
24,147.0,680
25,299.0,623
26,11.0,599
27,1.0,403
28,62.0,624
29,151.0,571
30,48.0,499
31,33.0,827
32,129.0,656
33,5.0,583
34,84.0,593
35,291.0,796
36,7.0,632
37,37.0,700
38,7.0,563
39,147.0,652

