,answer,token_usage
0,100.0,565
1,100.0,72
2,25.0,199
3,25.0,366
4,100.0,327
5,25.0,221
6,1000000.0,485
7,16.0,382
8,100.0,89
9,125.0,638
10,125.0,274
11,100.0,266
12,25.0,304
13,100.0,122
14,25.0,317
15,16.0,126
16,25.0,359
17,64.0,3096
18,100.0,243
19,100.0,234
20,100.0,202
21,100.0,376
22,100.0,526
23,25.0,355
24,100.0,243
25,100.0,191
26,100.0,256
27,25.0,350
28,25.0,468
29,100.0,123
30,25.0,328
31,10.0,312
32,100.0,528
33,100.0,326
34,100.0,354
35,40.0,521
36,25.0,256
37,100.0,394
38,100.0,228
39,100.0,78

