,answer,token_usage
0,100.0,131
1,160.0,109
2,100.0,113
3,80.0,217
4,120.0,70
5,120.0,181
6,120.0,188
7,80.0,152
8,120.0,209
9,200.0,137
10,120.0,126
11,120.0,113
12,120.0,215
13,80.0,141
14,80.0,164
15,120.0,184
16,80.0,110
17,100.0,174
18,100.0,160
19,100.0,178
20,160.0,206
21,40.0,341
22,80.0,76
23,80.0,111
24,120.0,326
25,240.0,40
26,120.0,156
27,100.0,114
28,120.0,124
29,120.0,134
30,120.0,178
31,120.0,115
32,120.0,173
33,100.0,159
34,80.0,86
35,120.0,150
36,120.0,178
37,240.0,150
38,80.0,139
39,160.0,125

