,answer,token_usage
0,139.0,128
1,140.0,76
2,139.0,199
3,139.0,157
4,138.0,92
5,138.0,138
6,139.0,109
7,138.0,99
8,138.0,116
9,139.0,148
10,138.0,124
11,139.0,174
12,138.0,118
13,138.0,114
14,138.0,110
15,138.0,120
16,140.0,84
17,138.0,139
18,139.0,127
19,139.0,168
20,139.0,66
21,139.0,182
22,139.0,114
23,138.0,129
24,138.0,122
25,138.0,113
26,138.0,95
27,139.0,220
28,138.0,120
29,140.0,75
30,139.0,111
31,140.0,85
32,138.0,124
33,139.0,86
34,139.0,144
35,138.0,121
36,139.0,192
37,139.0,184
38,138.0,94
39,139.0,132

