,answer,token_usage
0,89.0,256
1,89.0,174
2,69.0,246
3,80.0,220
4,20.0,294
5,50.0,45
6,107.0,287
7,110.0,287
8,29.0,249
9,107.0,276
10,107.0,273
11,89.0,210
12,63.0,279
13,107.0,325
14,83.0,214
15,107.0,369
16,92.0,313
17,89.0,240
18,84.0,302
19,83.0,254
20,29.0,161
21,69.0,194
22,89.0,227
23,89.0,269
24,92.0,301
25,90.0,251
26,107.0,271
27,107.0,229
28,50.0,239
29,107.0,200
30,92.0,273
31,107.0,140
32,99.0,137
33,112.0,53
34,89.0,311
35,90.0,253
36,92.0,308
37,147.0,216
38,89.0,307
39,83.0,235
40,107.0,107
41,80.0,228
42,29.0,256
43,29.0,296
44,89.0,162
45,69.0,144
46,80.0,251
47,92.0,284
48,89.0,208

