,answer,token_usage
0,47.666666666666664,277
1,37.166666666666664,298
2,37.1667,298
3,47.666666666666664,252
4,30.0,268
5,30.0,266
6,37.17,245
7,47.666666666666664,252
8,30.0,299
9,47.666666666666664,358
10,30.0,249
11,47.6667,328
12,26.67,351
13,47.67,237
14,30.0,311
15,14.166666666666666,45
16,22.5,145
17,30.0,227
18,47.666666666666664,348
19,47.6667,312
20,47.666666666666664,308
21,15.0,37
22,41.25,262
23,10.0,41
24,28.17,245
25,30.0,319
26,47.666666666666664,307
27,20.25,184
28,30.0,93
29,30.0,242
30,30.0,227
31,30.0,285
32,30.0,293
33,30.0,244
34,20.5,72
35,30.0,220
36,21.33,177
37,18.333333333333332,210
38,18.0,195
39,30.0,252

