,answer,token_usage
0,17500.0,169
1,17500.0,178
2,17500.0,163
3,17500.0,125
4,17500.0,159
5,17500.0,227
6,17500.0,177
7,17500.0,118
8,17500.0,157
9,17500.0,135
10,17500.0,165
11,17500.0,194
12,17500.0,120
13,17500.0,132
14,17500.0,161
15,17500.0,151
16,17500.0,200
17,17500.0,195
18,17500.0,125
19,17500.0,143
20,17500.0,153
21,17500.0,148
22,17500.0,141
23,17500.0,164
24,17500.0,195
25,17500.0,164
26,17500.0,129
27,17500.0,156
28,17500.0,137
29,17500.0,129
30,17500.0,97
31,17500.0,147
32,17500.0,141
33,17500.0,118
34,17500.0,151
35,17500.0,126
36,17500.0,113
37,17500.0,134
38,17500.0,130
39,17500.0,134

