,answer,token_usage
0,400.0,142
1,400.0,149
2,400.0,42
3,350.0,59
4,350.0,77
5,350.0,42
6,350.0,40
7,500.0,139
8,500.0,158
9,400.0,141
10,350.0,63
11,350.0,48
12,500.0,197
13,350.0,95
14,350.0,61
15,350.0,75
16,500.0,181
17,350.0,88
18,400.0,167
19,400.0,134
20,350.0,59
21,400.0,55
22,400.0,149
23,350.0,44
24,400.0,172
25,500.0,201
26,350.0,44
27,500.0,149
28,350.0,61
29,400.0,170
30,350.0,180
31,350.0,62
32,350.0,56
33,400.0,135
34,350.0,94
35,350.0,72
36,400.0,140
37,500.0,179
38,350.0,79
39,350.0,43

