,answer,token_usage
0,21.0,152
1,17.0,168
2,11.0,55
3,21.0,169
4,21.0,153
5,16.0,92
6,12.0,71
7,19.0,171
8,7.0,53
9,16.0,114
10,13.0,108
11,14.0,105
12,7.2,171
13,11.0,133
14,19.0,189
15,18.0,228
16,20.0,163
17,12.0,90
18,12.0,124
19,13.0,131
20,14.0,117
21,18.0,55
22,13.0,158
23,10.0,129
24,15.0,213
25,19.0,158
26,12.0,148
27,10.333333333333334,317
28,18.0,116
29,52.0,119
30,8.0,134
31,28.0,163
32,11.0,77
33,14.0,132
34,17.0,233
35,12.0,117
36,22.0,135
37,15.0,100
38,21.0,156
39,6.0,135
40,14.0,215
41,15.0,188
42,15.0,168
43,16.0,108
44,4.0,141
45,14.0,163
46,16.0,107
47,16.0,123
48,15.0,105
49,16.0,155
50,6.0,106
51,16.0,80
52,17.0,160
53,20.0,99
54,19.0,200
55,8.5,180
56,12.0,93
57,16.0,121
58,12.0,89
59,10.0,133
60,16.0,113
61,7.0,166
62,18.0,89
63,20.0,205
64,16.0,109

