,answer,token_usage
0,1750.0,99
1,2450.0,107
2,1750.0,56
3,1750.0,88
4,2200.0,110
5,2250.0,89
6,3750.0,51
7,2250.0,93
8,2375.0,72
9,2450.0,170
10,2400.0,78
11,2450.0,222
12,2250.0,94
13,2250.0,54
14,4250.0,64
15,2750.0,94
16,2450.0,208
17,2250.0,88
18,2750.0,87
19,2100.0,94
20,1250.0,84
21,3450.0,201
22,2750.0,49
23,3050.0,110
24,2300.0,76
25,2450.0,172
26,2050.0,142
27,1900.0,22
28,1750.0,82
29,2450.0,185
30,1950.0,83
31,3250.0,97
32,1700.0,73
33,2400.0,48
34,2450.0,211
35,2450.0,158
36,5000.0,103
37,2450.0,261
38,2450.0,190
39,3500.0,61

