,answer,token_usage
0,89.0,273
1,89.0,286
2,83.0,318
3,129.0,316
4,80.0,221
5,29.0,315
6,107.0,287
7,109.0,290
8,92.0,259
9,92.0,308
10,49.0,268
11,83.0,271
12,113.0,98
13,83.0,266
14,83.0,208
15,20.0,275
16,120.0,252
17,99.0,282
18,43.0,306
19,88.0,56
20,75.0,256
21,107.0,340
22,89.0,281
23,59.0,48
24,29.0,297
25,69.0,309
26,92.0,275
27,107.0,258
28,69.0,251
29,29.0,266
30,83.0,284
31,29.0,284
32,107.0,264
33,109.0,294
34,69.0,245
35,60.0,177
36,89.0,278
37,124.0,270
38,99.0,217
39,107.0,223
40,89.0,194
41,80.0,248
42,107.0,185
43,110.0,199
44,87.0,224
45,90.0,311
46,83.0,263
47,20.0,224
48,89.0,258
49,89.0,291
50,83.0,285
51,89.0,215
52,116.0,318
53,23.0,284
54,29.0,217
55,29.0,241
56,92.0,370
57,83.0,223
58,29.0,408
59,89.0,291
60,102.0,348
61,80.0,219
62,89.0,295
63,107.0,194
64,89.0,331

