,answer,token_usage
0,10.0,133
1,10.0,197
2,10.0,108
3,6.67,175
4,6.67,179
5,10.0,232
6,6.666666666666667,152
7,6.666666666666667,94
8,6.666666666666667,99
9,10.0,227
10,6.67,290
11,6.67,114
12,10.0,186
13,6.67,210
14,10.0,247
15,10.0,132
16,20.0,67
17,10.0,175
18,7.5,83
19,13.333333333333334,154
20,10.0,242
21,10.0,105
22,10.0,204
23,6.666666666666667,206
24,3.33,166
25,6.666666666666667,316
26,10.0,130
27,10.0,158
28,10.0,148
29,8.333333333333334,302
30,10.0,84
31,10.0,136
32,6.666666666666667,237
33,10.0,300
34,10.0,308
35,10.0,157
36,10.0,153
37,10.0,186
38,10.0,72
39,10.0,119

