,answer,token_usage
0,384.0,32924
1,24.0,42334
2,24.0,59354
3,24.0,32407
4,24.0,39964
5,6.0,65630
6,96.0,33562
7,96.0,32918
8,384.0,43219
9,384.0,45407
10,24.0,30615
11,96.0,35156
12,384.0,37919
13,384.0,47517
14,24.0,49174
15,384.0,42844
16,24.0,48409
17,16.0,40089
18,384.0,55330
19,8.0,53589
20,24.0,36442
21,385.0,48351
22,24.0,36504
23,24.0,33814
24,24.0,37459
25,384.0,37211
26,24.0,48599
27,24.0,38744
28,96.0,33696
29,96.0,53526
30,384.0,38230
31,384.0,36890
32,24.0,50584
33,96.0,44311
34,384.0,31003
35,12.0,47579
36,24.0,40535
37,24.0,35865
38,6.0,56600
39,96.0,50077

