,answer,token_usage
0,104.0,7700
1,11.0,5074
2,164.0,6232
3,6.0,4689
4,6.0,6610
5,104.0,7378
6,6.0,7889
7,104.0,7064
8,104.0,15187
9,11.0,5586
10,104.0,6034
11,11.0,7187
12,6.0,7569
13,104.0,7060
14,104.0,8723
15,104.0,9490
16,104.0,9106
17,104.0,11732
18,11.0,6424
19,6.0,7892
20,6.0,3667
21,11.0,7635
22,104.0,16088
23,104.0,6741
24,104.0,11222
25,6.0,6226
26,6.0,4626
27,104.0,5266
28,6.0,12819
29,104.0,5650
30,11.0,3089
31,104.0,11029
32,104.0,6229
33,6.0,6036
34,11.0,6227
35,104.0,10649
36,104.0,8018
37,104.0,8724

