,answer,token_usage
0,23.0,7573
1,23.0,7317
2,23.0,6867
3,23.0,5780
4,23.0,11988
5,23.0,4501
6,23.0,4180
7,23.0,6226
8,23.0,7253
9,23.0,5396
10,23.0,9299
11,23.0,5651
12,23.0,6868
13,23.0,7572
14,23.0,6996
15,23.0,8723
16,23.0,3480
17,23.0,5845
18,23.0,6932
19,23.0,8276
20,23.0,6484
21,23.0,8786
22,23.0,7124
23,23.0,5717
24,23.0,5332
25,23.0,7633
26,23.0,5589
27,23.0,6164
28,23.0,4564
29,23.0,13204
30,23.0,6164
31,23.0,5523
32,23.0,5074
33,23.0,6357
34,23.0,3028
35,23.0,8658
36,23.0,20628
37,23.0,11540
38,23.0,6613
39,23.0,11732

