,answer,token_usage
0,371.0,23769
1,391.0,29212
2,367.0,21715
3,365.0,21588
4,371.0,21332
5,365.0,16724
6,365.0,29971
7,365.0,12692
8,367.0,35800
9,371.0,24659
10,397.0,21011
11,365.0,36951
12,371.0,26194
13,365.0,39510
14,371.0,15765
15,371.0,36758
16,407.0,32341
17,371.0,26904
18,373.0,17426
19,375.0,17300
20,365.0,51545
21,371.0,17623
22,367.0,70552
23,371.0,22936
24,467.0,19995
25,419.0,8657
26,419.0,11348
27,365.0,14676
28,371.0,39702
29,377.0,34262
30,395.0,32850
31,371.0,22804
32,371.0,28627
33,365.0,30937
34,365.0,19093
35,395.0,27286
36,371.0,24210
37,379.0,16849
38,371.0,17237
39,371.0,28821

