,answer,token_usage
0,384.0,28570
1,24.0,44760
2,24.0,26457
3,384.0,31711
4,24.0,30611
5,384.0,38749
6,9216.0,44126
7,16.0,57238
8,24.0,40092
9,96.0,29210
10,6.0,54044
11,12.0,55897
12,24.0,42652
13,24.0,44757
14,384.0,47201
15,54.0,21020
16,24.0,40280
17,384.0,35101
18,24.0,47702
19,384.0,32155
20,24.0,53781
21,64.0,41686
22,384.0,33752
23,24.0,47514
24,384.0,40475
25,385.0,39262
26,24.0,25811
27,384.0,49624
28,384.0,50273
29,24.0,49368
30,384.0,50394
31,24.0,45144
32,96.0,37019
33,384.0,54886
34,24.0,43799
35,24.0,37403
36,96.0,43295
37,12.0,37399
38,192.0,42457
39,96.0,56407

