,answer,token_usage
0,468.0,5912
1,468.0,15572
2,468.0,6353
3,468.0,5331
4,468.0,3539
5,468.0,7121
6,468.0,5588
7,468.0,6103
8,340.2116723118778,12521
9,468.0,13077
10,468.0,4753
11,468.0,16787
12,468.0,4369
13,468.0,7187
14,208.0,7512
15,468.0,10583
16,468.0,16019
17,468.0,9237
18,468.0,8855
19,468.0,7442
20,468.0,3796
21,468.0,6931
22,468.0,9176
23,468.0,10771
24,468.0,4760
25,468.0,9047
26,468.0,5203
27,468.0,13780
28,468.0,10645
29,468.0,10135
30,468.0,4567
31,468.0,9681
32,468.0,9617
33,468.0,13141
34,468.0,8274
35,468.0,4116
36,208.0,8986
37,468.0,12947
38,468.0,8020
39,468.0,11732

