,answer,token_usage
0,2025.0,1172
1,2025.0,2968
2,2027.0,1684
3,2025.0,2456
4,59.0,1682
5,103.0,981
6,59.0,978
7,3349.0,2324
8,2025.0,276
9,115.0,1045
10,115.0,1171
11,7425.0,3029
12,176.0,725
13,4047.0,3155
14,59.0,789
15,87.0,1173
16,197.0,1874
17,103.0,1042
18,673.0,1045
19,197.0,1554
20,197.0,2706
21,2027.0,663
22,115.0,1237
23,115.0,1365
24,115.0,1365
25,2025.0,599
26,2929.0,4180
27,61.0,1109
28,2027.0,1886
29,15625.0,2329
30,176.0,213
31,2025.0,660
32,1379.0,1620
33,86.0,1621
34,59.0,1490
35,2025.0,2068
36,2025.0,1943
37,1157.0,147
38,1157.0,280
39,2025.0,1492

