,answer,token_usage
0,119.0,4375
1,7.7,3923
2,113.0,5458
3,29.0,2453
4,87.0,3218
5,36.0,3541
6,113.0,1810
7,136.0,1746
8,4.0,1490
9,125.0,3153
10,29.0,1878
11,34.0,3479
12,35.0,2194
13,199.0,4434
14,57.0,2386
15,57.0,2195
16,35.0,3476
17,57.0,3794
18,35.0,2450
19,35.0,3538
20,136.0,3479
21,29.0,3474
22,113.0,3603
23,113.0,4434
24,61.0,1490
25,34.0,3093
26,217.0,1745
27,113.0,5202
28,50.0,81
29,29.0,2193
30,34.0,2065
31,50.0,2321
32,113.0,1810
33,7.68,2003
34,19.0,2262
35,57.0,5908
36,113.0,5393
37,59.0,3602
38,13.0,3473
39,209.0,3864

