,answer,token_usage
0,2.0,1554
1,1024.0,1369
2,1024.0,1556
3,1024.0,1942
4,1024.0,2074
5,902.0,2071
6,1022.0,2329
7,1024.0,2586
8,1024.0,2201
9,902.0,3409
10,902.0,2577
11,1024.0,2004
12,2.0,2194
13,902.0,1687
14,1024.0,2650
15,122.0,1873
16,1024.0,1561
17,902.0,2327
18,962.0,1366
19,1024.0,1241
20,902.0,2065
21,1024.0,1433
22,932.0,2456
23,14464.0,1434
24,2.0,3154
25,2.0,2130
26,962.0,4626
27,1024.0,1172
28,2.0,2388
29,2.0,1298
30,1024.0,1627
31,1024.0,1876
32,1250.0,3038
33,902.0,2200
34,1024.0,1562
35,962.0,2899
36,1024.0,1879

