,answer,token_usage
0,45.0,1426
1,45.0,1431
2,45.0,1687
3,45.0,850
4,1000.0,852
5,45.0,914
6,100.0,1879
7,45.0,791
8,45.0,1170
9,45.0,1490
10,45.0,2199
11,45.0,3730
12,45.0,855
13,45.0,1426
14,45.0,1042
15,45.0,1240
16,45.0,791
17,45.0,1426
18,45.0,2066
19,45.0,1682
20,45.0,2066
21,45.0,2136
22,45.0,1490
23,45.0,1048
24,45.0,1111
25,45.0,915
26,45.0,914
27,45.0,1746
28,100.0,2068
29,45.0,1177
30,45.0,3221
31,45.0,2130
32,45.0,1240
33,45.0,1298
34,45.0,1618
35,45.0,1874
36,45.0,2066
37,45.0,1431
38,45.0,1298
39,45.0,1812

