,answer,token_usage
0,31.0,1874
1,127.0,2773
2,127.0,2770
3,149.0,1813
4,19.0,4821
5,31.0,1746
6,127.0,2962
7,19.0,1813
8,55.0,2195
9,127.0,4565
10,18.0,1681
11,37.0,2645
12,19.0,2002
13,55.0,2962
14,23.0,4631
15,25.0,657
16,17.0,786
17,55.0,2322
18,127.0,3794
19,22.0,3473
20,31.0,2389
21,7.0,2898
22,22.0,1489
23,61.0,917
24,127.0,3027
25,19.0,2837
26,9.0,661
27,127.0,4498
28,19.0,4630
29,19.0,1362
30,23.0,3605
31,28.0,3862
32,62.0,1109
33,55.0,2962
34,23.0,2455
35,127.0,2577
36,23.0,1813
37,19.0,3666
38,127.0,2066
39,17.0,1809
40,115.0,3474
41,19.0,3280
42,31.0,1362
43,19.0,1745
44,35.0,1169
45,13.0,1365

