,answer,token_usage
0,113.0,1874
1,12.0,657
2,13.0,1042
3,127.0,2962
4,13.0,2901
5,55.0,2323
6,127.0,4626
7,55.0,917
8,17.0,2385
9,17.0,1301
10,19.0,1621
11,12.0,853
12,59.0,3670
13,155.0,2962
14,25.0,1298
15,9.0,4566
16,13.0,1301
17,13.0,2197
18,46.0,853
19,55.0,2257
20,17.0,658
21,17.0,2258
22,49.0,2005
23,127.0,4435
24,23.0,786
25,19.0,2069
26,127.0,4178
27,127.0,2322
28,17.0,1877
29,127.0,3092
30,7.0,4818
31,127.0,1938
32,127.0,5138
33,55.0,2386
34,13.0,4049
35,13.0,2453
36,47.0,1234
37,127.0,2578
38,61.0,533
39,19.0,3345

