,answer,token_usage
0,10.0,2002
1,19.0,2450
2,6.0,2578
3,6.0,978
4,14.0,1046
5,11.0,1042
6,14.0,1682
7,11.0,3283
8,7.0,2322
9,6.0,2002
10,6.0,1746
11,6.0,1810
12,6.0,1875
13,6.0,2002
14,43.0,1745
15,115.0,1170
16,15.0,209
17,6.0,1618
18,115.0,1298
19,21.0,1426
20,19.0,2258
21,26.0,2642
22,69.0,3282
23,6.0,2579
24,66.0,2261
25,26.0,2897
26,6.0,977
27,15.0,1170
28,6.0,1490
29,11.0,4052
30,11.0,3218
31,14.0,1174
32,11.0,2258
33,104.0,2002
34,21.0,1366
35,6.0,2386
36,6.0,4178
37,6.0,786
38,6.0,2130
39,94.0,1876

