,answer,token_usage
0,381.0,18973
1,351.0,9043
2,373.0,8147
3,371.0,6995
4,365.0,9169
5,419.0,6545
6,381.0,8660
7,373.0,7249
8,371.0,11734
9,367.0,10645
10,489.0,13395
11,373.0,9107
12,371.0,8339
13,457.0,14484
14,365.0,10261
15,371.0,8146
16,363.0,15829
17,365.0,7507
18,371.0,11539
19,367.0,10770
20,371.0,11500
21,353.0,7441
22,419.0,7444
23,377.0,20180
24,367.0,9491
25,371.0,15764
26,419.0,10323
27,365.0,8402
28,355.0,7315
29,403.0,18577
30,371.0,11349
31,365.0,10321
32,371.0,12691
33,371.0,10259
34,365.0,9620
35,365.0,9682
36,419.0,7058
37,463.0,16209
38,367.0,19029
39,373.0,13395

