,answer,token_usage
0,24.0,16851
1,14.0,16658
2,24.0,11348
3,12.0,12435
4,20.0,15316
5,24.0,16857
6,8.0,8788
7,24.0,10450
8,14.0,14739
9,10.0,12785
10,24.0,11672
11,48.0,19603
12,24.0,10266
13,14.0,14930
14,14.0,15314
15,14.0,13651
16,16.0,14166
17,16.0,20373
18,8.0,15445
19,24.0,12948
20,14.0,23639
21,27.0,20504
22,16.0,9746
23,14.0,23064
24,24.0,14748
25,24.0,9107
26,12.0,21781
27,32.0,18195
28,16.0,13907
29,16.0,15379
30,14.0,12627
31,24.0,13850
32,8.0,12759
33,14.0,12051
34,24.0,13270
35,12.0,17879
36,24.0,8662
37,8.0,19346
38,24.0,18711
39,8.0,11987

