,answer,token_usage
0,467.0,8211
1,367.0,7635
2,419.0,6929
3,419.0,5267
4,365.0,17171
5,373.0,10133
6,399.0,14613
7,371.0,14615
8,395.0,13138
9,373.0,16914
10,391.0,18392
11,399.0,8402
12,379.0,18516
13,371.0,16534
14,355.0,9044
15,367.0,11601
16,359.0,13587
17,373.0,6034
18,373.0,11283
19,419.0,13849
20,359.0,16280
21,411.0,8724
22,353.0,9041
23,403.0,11474
24,359.0,9810
25,355.0,11987
26,365.0,9365
27,365.0,5587
28,419.0,8212
29,373.0,12311
30,365.0,12692
31,373.0,7699
32,365.0,7764
33,405.0,17106
34,365.0,8209
35,395.0,26969
36,365.0,5397
37,365.0,6930
38,365.0,21463
39,373.0,7315

