,answer,token_usage
0,606.0,24849
1,8009.0,17622
2,23443.0,16085
3,197.0,9810
4,197.0,12689
5,177.0,24734
6,192.0,19923
7,2027.0,13140
8,197.0,6161
9,197.0,6993
10,197.0,7059
11,197.0,16467
12,7807.0,13781
13,197.0,8914
14,197.0,9874
15,197.0,17939
16,2027.0,12437
17,197.0,13265
18,197.0,13329
19,389.0,17428
20,197.0,9937
21,4047.0,15766
22,197.0,13073
23,22859.0,10965
24,197.0,6034
25,197.0,6994
26,290.0,14614
27,197.0,12753
28,101.0,13330
29,46897.0,10069
30,1647.0,15700
31,187.0,20948
32,197.0,15569
33,197.0,15572
34,197.0,16852
35,197.0,7185
36,100.0,25875
37,197.0,11921
38,100.0,26258
39,197.0,14161

