,answer,token_usage
0,42.0,3479
1,155.0,2712
2,110.0,3352
3,110.0,3736
4,110.0,5527
5,134.0,4888
6,134.0,4760
7,151.0,4824
8,155.0,2648
9,155.0,2135
10,155.0,2072
11,110.0,5208
12,110.0,5016
13,110.0,5783
14,110.0,4760
15,110.0,6232
16,110.0,4120
17,110.0,5207
18,110.0,5079
19,155.0,3159
20,110.0,4887
21,110.0,6362
22,155.0,2200
23,155.0,2839
24,42.0,5335
25,155.0,2264
26,151.0,4823
27,155.0,2072
28,110.0,3544
29,110.0,4568
30,110.0,4248
31,110.0,5272
32,155.0,2968
33,134.0,3921
34,155.0,3160
35,42.0,3736
36,155.0,2264
37,110.0,5016
38,155.0,2775
39,110.0,4376

