,answer,token_usage
0,809.0,1304
1,809.0,1240
2,809.0,1943
3,809.0,1175
4,809.0,1239
5,809.0,1367
6,808.0,2456
7,808.0,1687
8,809.0,1176
9,809.0,2200
10,809.0,920
11,809.0,1240
12,809.0,1368
13,809.0,2136
14,809.0,1112
15,809.0,1176
16,809.0,1816
17,809.0,1239
18,809.0,1047
19,809.0,1368
20,809.0,1432
21,809.0,1496
22,809.0,1624
23,809.0,1687
24,809.0,1112
25,809.0,1560
26,809.0,1175
27,809.0,1239
28,809.0,1880
29,808.0,1496
30,809.0,1175
31,809.0,1176
32,809.0,1304
33,809.0,1111
34,809.0,1176
35,809.0,1816
36,809.0,1112
37,809.0,1304
38,809.0,2327
39,809.0,1496

